[2019-08-22 22:10:56,360] INFO [ReplicaStateMachine controllerId=0] Stopped replica state machine (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:10:56,362] INFO [RequestSendThread controllerId=0] Shutting down (kafka.controller.RequestSendThread)
[2019-08-22 22:10:56,363] INFO [RequestSendThread controllerId=0] Stopped (kafka.controller.RequestSendThread)
[2019-08-22 22:10:56,363] INFO [RequestSendThread controllerId=0] Shutdown completed (kafka.controller.RequestSendThread)
[2019-08-22 22:10:56,367] INFO [Controller id=0] Resigned (kafka.controller.KafkaController)
[2019-08-22 22:11:16,193] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:11:16,269] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 11 and epoch zk version is now 11 (kafka.controller.KafkaController)
[2019-08-22 22:11:16,271] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2019-08-22 22:11:16,280] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2019-08-22 22:11:16,286] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2019-08-22 22:11:16,294] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2019-08-22 22:11:16,331] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 710) (kafka.controller.KafkaController)
[2019-08-22 22:11:16,404] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:11:16,457] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2019-08-22 22:11:16,499] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2019-08-22 22:11:16,501] INFO [Controller id=0] Partitions being reassigned: Map() (kafka.controller.KafkaController)
[2019-08-22 22:11:16,503] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:11:16,504] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2019-08-22 22:11:16,505] INFO [Controller id=0] Current list of topics in the cluster: Set(tdn-systrk) (kafka.controller.KafkaController)
[2019-08-22 22:11:16,506] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2019-08-22 22:11:16,531] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2019-08-22 22:11:16,533] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2019-08-22 22:11:16,534] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2019-08-22 22:11:16,535] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2019-08-22 22:11:16,590] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:11:16,634] INFO [RequestSendThread controllerId=0] Controller 0 connected to localhost:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2019-08-22 22:11:16,634] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:11:16,732] INFO [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map([Topic=tdn-systrk,Partition=0,Replica=0] -> OnlineReplica) (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:11:16,733] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.PartitionStateMachine)
[2019-08-22 22:11:16,737] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.PartitionStateMachine)
[2019-08-22 22:11:16,742] INFO [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map(tdn-systrk-0 -> OnlinePartition) (kafka.controller.PartitionStateMachine)
[2019-08-22 22:11:16,744] INFO [Controller id=0] Ready to serve as the new controller with epoch 11 (kafka.controller.KafkaController)
[2019-08-22 22:11:16,752] INFO [Controller id=0] Removing partitions Set() from the list of reassigned partitions in zookeeper (kafka.controller.KafkaController)
[2019-08-22 22:11:16,757] INFO [Controller id=0] No more partitions need to be reassigned. Deleting zk path /admin/reassign_partitions (kafka.controller.KafkaController)
[2019-08-22 22:11:16,768] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2019-08-22 22:11:16,769] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2019-08-22 22:11:16,770] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2019-08-22 22:11:16,770] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2019-08-22 22:11:16,779] INFO [Controller id=0] Starting preferred replica leader election for partitions  (kafka.controller.KafkaController)
[2019-08-22 22:11:16,888] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2019-08-22 22:11:21,897] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2019-08-22 22:11:21,903] DEBUG [Controller id=0] Preferred replicas by broker Map(0 -> Map(tdn-systrk-0 -> Vector(0))) (kafka.controller.KafkaController)
[2019-08-22 22:11:21,907] DEBUG [Controller id=0] Topics not in preferred replica for broker 0 Map() (kafka.controller.KafkaController)
[2019-08-22 22:11:21,915] TRACE [Controller id=0] Leader imbalance ratio for broker 0 is 0.0 (kafka.controller.KafkaController)
[2019-08-22 22:13:53,075] INFO [Controller id=0] Shutting down broker 0 (kafka.controller.KafkaController)
[2019-08-22 22:13:53,077] DEBUG [Controller id=0] All shutting down brokers: 0 (kafka.controller.KafkaController)
[2019-08-22 22:13:53,080] DEBUG [Controller id=0] Live brokers:  (kafka.controller.KafkaController)
[2019-08-22 22:13:53,096] TRACE [Controller id=0] All leaders = tdn-systrk-0 -> (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) (kafka.controller.KafkaController)
[2019-08-22 22:13:54,738] INFO [ControllerEventThread controllerId=0] Shutting down (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:13:54,738] INFO [ControllerEventThread controllerId=0] Stopped (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:13:54,738] INFO [ControllerEventThread controllerId=0] Shutdown completed (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:13:54,740] DEBUG [Controller id=0] Resigning (kafka.controller.KafkaController)
[2019-08-22 22:13:54,742] DEBUG [Controller id=0] Unregister BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:13:54,751] INFO [PartitionStateMachine controllerId=0] Stopped partition state machine (kafka.controller.PartitionStateMachine)
[2019-08-22 22:13:54,756] INFO [ReplicaStateMachine controllerId=0] Stopped replica state machine (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:13:54,758] INFO [RequestSendThread controllerId=0] Shutting down (kafka.controller.RequestSendThread)
[2019-08-22 22:13:54,758] INFO [RequestSendThread controllerId=0] Stopped (kafka.controller.RequestSendThread)
[2019-08-22 22:13:54,759] INFO [RequestSendThread controllerId=0] Shutdown completed (kafka.controller.RequestSendThread)
[2019-08-22 22:13:54,765] INFO [Controller id=0] Resigned (kafka.controller.KafkaController)
[2019-08-22 22:33:08,227] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2019-08-22 22:33:26,812] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:33:26,847] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 12 and epoch zk version is now 12 (kafka.controller.KafkaController)
[2019-08-22 22:33:26,847] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2019-08-22 22:33:26,850] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2019-08-22 22:33:26,853] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2019-08-22 22:33:26,856] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2019-08-22 22:33:26,869] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 751) (kafka.controller.KafkaController)
[2019-08-22 22:33:26,896] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:33:26,910] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2019-08-22 22:33:26,923] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2019-08-22 22:33:26,924] INFO [Controller id=0] Partitions being reassigned: Map() (kafka.controller.KafkaController)
[2019-08-22 22:33:26,925] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:33:26,925] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2019-08-22 22:33:26,926] INFO [Controller id=0] Current list of topics in the cluster: Set(tdn-systrk) (kafka.controller.KafkaController)
[2019-08-22 22:33:26,926] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2019-08-22 22:33:26,932] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
